"Country_Code","Country_Name","Population_Density","Year","People_Near_Rapid_Transit","Transit_Legend"
"AFG","Afghanistan",9149.10984779,1975,0,0
"AFG","Afghanistan",10191.0455945688,1980,0,0
"AFG","Afghanistan",10904.9794473538,1985,0,0
"AFG","Afghanistan",12334.6123189456,1990,0,0
"AFG","Afghanistan",14452.7101963497,1995,0,0
"AFG","Afghanistan",17246.7992355928,2000,0,0
"AFG","Afghanistan",20028.4357709816,2005,0,0
"AFG","Afghanistan",22262.1841984873,2010,0,0
"AFG","Afghanistan",25228.8951814023,2015,0,0
"AFG","Afghanistan",30232.4109602716,2020,0,0
"AFG","Afghanistan",34796.8064444587,2024,0,0
"ALB","Albania",13114.5280360632,1975,0,0
"ALB","Albania",13617.1572686148,1980,0,0
"ALB","Albania",14501.922220297,1985,0,0
"ALB","Albania",15812.3259977723,1990,0,0
"ALB","Albania",13612.9730549397,1995,0,0
"ALB","Albania",13810.6313588134,2000,0,0
"ALB","Albania",14286.2454883159,2005,0,0
"ALB","Albania",15094.3974713038,2010,0,0
"ALB","Albania",16358.7223033554,2015,0,0
"ALB","Albania",17996.4213352688,2020,0,0
"ALB","Albania",19982.1739597842,2024,0,0
"DZA","Algeria",21218.1638286947,1975,0,0
"DZA","Algeria",21761.0197208962,1980,0,0
"DZA","Algeria",21519.1476675596,1985,0,0
"DZA","Algeria",21794.9607737799,1990,0,0
"DZA","Algeria",21047.1554510247,1995,0,0
"DZA","Algeria",19525.1834907374,2000,0,0
"DZA","Algeria",17542.7358159215,2005,0,0
"DZA","Algeria",16663.1728556899,2010,0,0
"DZA","Algeria",17291.0425765498,2015,0.169336542790723,0.169336542790723
"DZA","Algeria",18522.2758230085,2020,0.182895923954817,0.182895923954817
"DZA","Algeria",19995.1367704365,2024,0.169336542790723,0.169336542790723
"AGO","Angola",5835.59528936134,1975,0,0
"AGO","Angola",7690.30452162357,1980,0,0
"AGO","Angola",9421.99291070134,1985,0,0
"AGO","Angola",10302.8698781388,1990,0,0
