"a3","name","value","value_legend"
"ARG","Argentina",68.1827082204551,68.1827082204551
"CHL","Chile",86.7071723091826,86.7071723091826
"URY","Uruguay",57.8656388659662,57.8656388659662
"PRY","Paraguay",58.2446186584354,58.2446186584354
"BOL","Bolivia",86.1267234634529,86.1267234634529
"BRA","Brazil",62.7676926936557,62.7676926936557
"NZL","New Zealand",32.2744321320074,32.2744321320074
"GAB","Gabon",17.8942042951824,17.8942042951824
"FRA","France",62.4949598706323,62.4949598706323
"GNQ","Equatorial Guinea",22.0997363125904,22.0997363125904
"LBR","Liberia",30.6081949445057,30.6081949445057
"CMR","Cameroon",44.2614755571128,44.2614755571128
"PER","Peru",114.139589630703,114.139589630703
"ECU","Ecuador",105.368612980295,105.368612980295
"GBR","United Kingdom",54.1583145365578,54.1583145365578
"COL","Colombia",110.626885223129,110.626885223129
"VEN","Venezuela",63.8574731915949,63.8574731915949
"CRI","Costa Rica",37.7709055524819,37.7709055524819
"PAN","Panama",43.0450295283877,43.0450295283877
"CIV","Côte d’Ivoire",63.913807211538,63.913807211538
"GHA","Ghana",37.6302273497013,37.6302273497013
"SLE","Sierra Leone",34.4543199056595,34.4543199056595
"TGO","Togo",62.5053413909721,62.5053413909721
"NGA","Nigeria",35.1131679142708,35.1131679142708
"BEN","Benin",52.3069124597845,52.3069124597845
"GIN","Guinea",50.050069357436,50.050069357436
"GNB","Guinea-Bissau",37.0430311202923,37.0430311202923
"BFA","Burkina Faso",84.2282373719689,84.2282373719689
"NOR","Norway",84.327640962917,84.327640962917
"GMB","Gambia",62.1418265393176,62.1418265393176
"SEN","Senegal",149.208217531611,149.208217531611
"MLI","Mali",94.8335409812902,94.8335409812902
"NER","Niger",75.8331456589366,75.8331456589366
"MRT","Mauritania",140.533278184344,140.533278184344
"DZA","Algeria",60.774629273335,60.774629273335
"USA","United States",61.2654089274592,61.2654089274592
"MAR","Morocco",97.3884379111371,97.3884379111371
"NIC","Nicaragua",61.1107036143961,61.1107036143961
"SLV","El Salvador",53.1106923339916,53.1106923339916
"HND","Honduras",83.6420505902417,83.6420505902417
"GTM","Guatemala",83.3802743075565,83.3802743075565
"JAM","Jamaica",37.4687018510738,37.4687018510738
"DOM","Dominican Republic",70.7478747168561,70.7478747168561
"HTI","Haiti",38.7888388319387,38.7888388319387
"CUB","Cuba",55.3984391338102,55.3984391338102
"MEX","Mexico",81.597146396419,81.597146396419
"NLD","Netherlands",102.930272375931,102.930272375931
"TUN","Tunisia",76.3025977402129,76.3025977402129
"ESP","Spain",79.7005979837916,79.7005979837916
"VAT","Vatican City",89.669227450966,89.669227450966
"CHE","Switzerland",95.3942060118411,95.3942060118411
"BEL","Belgium",56.3946537316375,56.3946537316375
"ALB","Albania",45.1688139501609,45.1688139501609
"ITA","Italy",40.9910908385799,40.9910908385799
"BGR","Bulgaria",82.4109810693081,82.4109810693081
"SRB","Serbia",56.047243716615,56.047243716615
"HRV","Croatia",70.6692333613074,70.6692333613074
"ROU","Romania",63.4926310176982,63.4926310176982
"HUN","Hungary",63.7842026999856,63.7842026999856
"AUT","Austria",81.0013714834566,81.0013714834566
"CZE","Czechia",97.3121964252515,97.3121964252515
"POL","Poland",80.5733069177533,80.5733069177533
"BLR","Belarus",103.240306883962,103.240306883962
"AUS","Australia",41.5744768403584,41.5744768403584
"IDN","Indonesia",55.1355216392583,55.1355216392583
"SGP","Singapore",49.2812066699895,49.2812066699895
"MYS","Malaysia",83.6120390490091,83.6120390490091
"ZAF","South Africa",45.4325829076034,45.4325829076034
"ZWE","Zimbabwe",25.9105225255042,25.9105225255042
"ZMB","Zambia",34.8688554393594,34.8688554393594
