"a3","name","value","value_legend"
"ARG","Argentina",0.22404771928151,0.22404771928151
"CHL","Chile",0.502979823397929,0.502979823397929
"URY","Uruguay",0.351323946991278,0.351323946991278
"PRY","Paraguay",0.223884264176534,0.223884264176534
"BOL","Bolivia",0.405218381779647,0.405218381779647
"BRA","Brazil",0.317185296744064,0.317185296744064
"NZL","New Zealand",0.626334568108091,0.626334568108091
"GAB","Gabon",0.0241051723544127,0.0241051723544127
"FRA","France",0.722797335986263,0.722797335986263
"GNQ","Equatorial Guinea",0.0618145573452273,0.0618145573452273
"LBR","Liberia",0.240200336606629,0.240200336606629
"CMR","Cameroon",0.0733639672327203,0.0733639672327203
"PER","Peru",0.591379131869751,0.591379131869751
"ECU","Ecuador",0.360248206783573,0.360248206783573
"GBR","United Kingdom",0.718309642451978,0.718309642451978
"COL","Colombia",0.635730700858748,0.635730700858748
"VEN","Venezuela",0.154717563102059,0.154717563102059
"CRI","Costa Rica",0.341558461419364,0.341558461419364
"PAN","Panama",0.231869307901921,0.231869307901921
"CIV","Côte d’Ivoire",0.190692263867425,0.190692263867425
"GHA","Ghana",0.073812975445736,0.073812975445736
"SLE","Sierra Leone",0.349475356070916,0.349475356070916
"TGO","Togo",0.250378683364221,0.250378683364221
"NGA","Nigeria",0.0259075055245066,0.0259075055245066
"BEN","Benin",0.108395607047306,0.108395607047306
"GIN","Guinea",0.0815217126958038,0.0815217126958038
"GNB","Guinea-Bissau",0.163447525457803,0.163447525457803
"BFA","Burkina Faso",0.227473788061842,0.227473788061842
"NOR","Norway",0.847002554447111,0.847002554447111
"GMB","Gambia",0.0786215026180071,0.0786215026180071
"SEN","Senegal",0.111959365801945,0.111959365801945
"MLI","Mali",0.0765394450670158,0.0765394450670158
"NER","Niger",0.1064214457173,0.1064214457173
"MRT","Mauritania",0.0969218276895597,0.0969218276895597
"DZA","Algeria",0.151845072866376,0.151845072866376
"USA","United States",0.274151703127697,0.274151703127697
"MAR","Morocco",0.288775737635128,0.288775737635128
"NIC","Nicaragua",0.228679483801639,0.228679483801639
"SLV","El Salvador",0.346256532391729,0.346256532391729
"HND","Honduras",0.278439071352404,0.278439071352404
"GTM","Guatemala",0.249772656823164,0.249772656823164
"JAM","Jamaica",0.142855514057001,0.142855514057001
