"a3","name","value","value_legend"
"ARG","Argentina",0.651768163986148,0.651768163986148
"CHL","Chile",0,0
"BRA","Brazil",0.198437407246954,0.198437407246954
"NZL","New Zealand",0.396291044925089,0.396291044925089
"FRA","France",0.712330765233578,0.712330765233578
"CMR","Cameroon",0.0565906060677427,0.0565906060677427
"GBR","United Kingdom",0.0818516642682542,0.0818516642682542
"COL","Colombia",0.849255121005812,0.849255121005812
"CIV","Côte d’Ivoire",0.184667700074875,0.184667700074875
"GHA","Ghana",0.0677654616478776,0.0677654616478776
"SLE","Sierra Leone",0,0
"DZA","Algeria",0.00207442024465732,0.00207442024465732
"USA","United States",0.199809373801375,0.199809373801375
"NIC","Nicaragua",0.675668884689063,0.675668884689063
"DOM","Dominican Republic",0,0
"MEX","Mexico",0.0118040548681557,0.0118040548681557
"NLD","Netherlands",0,0
"TUN","Tunisia",0.0194764301617748,0.0194764301617748
"ESP","Spain",0.507044997915028,0.507044997915028
"VAT","Vatican City",0.788294262847742,0.788294262847742
"CHE","Switzerland",0,0
"BEL","Belgium",0.658317378381607,0.658317378381607
"ITA","Italy",0.525442039911508,0.525442039911508
"BGR","Bulgaria",0,0
"SRB","Serbia",0.795497097253594,0.795497097253594
"HRV","Croatia",0.768784008604773,0.768784008604773
"HUN","Hungary",0.834206109300064,0.834206109300064
"AUT","Austria",0.84801533133153,0.84801533133153
"CZE","Czechia",0.887233278708239,0.887233278708239
"POL","Poland",0.660218559357939,0.660218559357939
"AUS","Australia",0.282342067256105,0.282342067256105
"IDN","Indonesia",0.018859108691616,0.018859108691616
"SGP","Singapore",0.264056939091396,0.264056939091396
"MYS","Malaysia",0.000505064201013092,0.000505064201013092
"AGO","Angola",0,0
"COD","Congo - Kinshasa",0,0
"RWA","Rwanda",0.0104824517713323,0.0104824517713323
"KEN","Kenya",0.0124959916433728,0.0124959916433728
"PHL","Philippines",0,0
"THA","Thailand",0.000223509900581045,0.000223509900581045
"ETH","Ethiopia",0.168659980206773,0.168659980206773
"OMN","Oman",0,0
"ARE","United Arab Emirates",0.267462732350318,0.267462732350318
"COG","Congo - Brazzaville",0,0
"EGY","Egypt",0.428988177122067,0.428988177122067
"GRC","Greece",0.604140550686122,0.604140550686122
"IND","India",0.0853464634739458,0.0853464634739458
"TWN","Taiwan",0.110774722559344,0.110774722559344
"JOR","Jordan",0,0
"ISR","Israel",0.848424500171644,0.848424500171644
"JPN","Japan",0.00305757328058087,0.00305757328058087
"CHN","China",0.0338605311092035,0.0338605311092035
"TUR","Turkey",0.173607554403397,0.173607554403397
"PRT","Portugal",0.521404668762638,0.521404668762638
"CAN","Canada",0.499818120102865,0.499818120102865
"DEU","Germany",0.455189410426085,0.455189410426085
"IRL","Ireland",0.635244940551493,0.635244940551493
"DNK","Denmark",0.740539356324555,0.740539356324555
"LVA","Latvia",0.0130080168894934,0.0130080168894934
"SWE","Sweden",0.529291146608791,0.529291146608791
"FIN","Finland",0.7906836544842,0.7906836544842
