"a3","name","value","value_legend"
"ARG","Argentina",0.791800911074585,0.791800911074585
"CHL","Chile",0.651903157992141,0.651903157992141
"URY","Uruguay",0.833296142808245,0.833296142808245
"PRY","Paraguay",0.80015356735293,0.80015356735293
"BOL","Bolivia",0.625504482589469,0.625504482589469
"BRA","Brazil",0.605774578395561,0.605774578395561
"NZL","New Zealand",0.795108498151871,0.795108498151871
"GAB","Gabon",0.686500950854685,0.686500950854685
"FRA","France",0.629739232961582,0.629739232961582
"GNQ","Equatorial Guinea",0.783373442457097,0.783373442457097
"LBR","Liberia",0.907187038775616,0.907187038775616
"CMR","Cameroon",0.838930325592109,0.838930325592109
"PER","Peru",0.592695224635653,0.592695224635653
"ECU","Ecuador",0.528098503288268,0.528098503288268
"GBR","United Kingdom",0.785274735659583,0.785274735659583
"COL","Colombia",0.482219177916306,0.482219177916306
"VEN","Venezuela",0.653442183397672,0.653442183397672
"CRI","Costa Rica",0.815214132310256,0.815214132310256
"PAN","Panama",0.516030379526434,0.516030379526434
"CIV","Côte d’Ivoire",0.732246894781437,0.732246894781437
"GHA","Ghana",0.749445480946758,0.749445480946758
"SLE","Sierra Leone",0.694610892882018,0.694610892882018
"TGO","Togo",0.675659809245383,0.675659809245383
"NGA","Nigeria",0.700832545019075,0.700832545019075
"BEN","Benin",0.695500834275307,0.695500834275307
"GIN","Guinea",0.58863971548046,0.58863971548046
"GNB","Guinea-Bissau",0.860818238821158,0.860818238821158
"BFA","Burkina Faso",0.882084792737344,0.882084792737344
"NOR","Norway",0.558010921694637,0.558010921694637
"GMB","Gambia",0.910972246715269,0.910972246715269
"SEN","Senegal",0.57216970515512,0.57216970515512
"MLI","Mali",0.860076105605768,0.860076105605768
"NER","Niger",0.85668015987642,0.85668015987642
"MRT","Mauritania",0.902119369942407,0.902119369942407
"DZA","Algeria",0.461593337081608,0.461593337081608
"USA","United States",0.738529307070943,0.738529307070943
"MAR","Morocco",0.521705646963866,0.521705646963866
"NIC","Nicaragua",0.770841401872516,0.770841401872516
"SLV","El Salvador",0.562147501955546,0.562147501955546
"HND","Honduras",0.527824040768905,0.527824040768905
"GTM","Guatemala",0.625183526921804,0.625183526921804
"JAM","Jamaica",0.761501163687433,0.761501163687433
"DOM","Dominican Republic",0.622454130996312,0.622454130996312
"HTI","Haiti",0.91723412437905,0.91723412437905
"CUB","Cuba",0.759795300239361,0.759795300239361
"MEX","Mexico",0.613311086536909,0.613311086536909
"NLD","Netherlands",0.636690555728626,0.636690555728626
"TUN","Tunisia",0.544347745790162,0.544347745790162
"ESP","Spain",0.41663659358432,0.41663659358432
"VAT","Vatican City",0.372744369336013,0.372744369336013
"CHE","Switzerland",0.720689807770777,0.720689807770777
"BEL","Belgium",0.661958289390067,0.661958289390067
"ALB","Albania",0.577917943975751,0.577917943975751
"ITA","Italy",0.639254201084967,0.639254201084967
"BGR","Bulgaria",0.629918693566054,0.629918693566054
"SRB","Serbia",0.705343031965811,0.705343031965811
"HRV","Croatia",0.758784537523652,0.758784537523652
"ROU","Romania",0.548812703890953,0.548812703890953
"HUN","Hungary",0.783589949504257,0.783589949504257
"AUT","Austria",0.730650285702072,0.730650285702072
"CZE","Czechia",0.624114815085911,0.624114815085911
"POL","Poland",0.647181764280407,0.647181764280407
"BLR","Belarus",0.561547752420413,0.561547752420413
"AUS","Australia",0.68457155910243,0.68457155910243
"IDN","Indonesia",0.718743784619214,0.718743784619214
"SGP","Singapore",0.173033513722502,0.173033513722502
"MYS","Malaysia",0.334519297713342,0.334519297713342
"ZAF","South Africa",0.790507369125327,0.790507369125327
"ZWE","Zimbabwe",0.957165387342488,0.957165387342488
"ZMB","Zambia",0.855706904381278,0.855706904381278
"AGO","Angola",0.763847821967698,0.763847821967698
"COD","Congo - Kinshasa",0.950202680476883,0.950202680476883
"BDI","Burundi",0.994652951821041,0.994652951821041
"RWA","Rwanda",0.875129987859586,0.875129987859586
"MDG","Madagascar",0.904559559917987,0.904559559917987
"MOZ","Mozambique",0.842314365089318,0.842314365089318
"MUS","Mauritius",0.842108822595493,0.842108822595493
"MWI","Malawi",0.968261965612887,0.968261965612887
"TZA","Tanzania",0.802191151494243,0.802191151494243
"KEN","Kenya",0.648583086073813,0.648583086073813
"UGA","Uganda",0.871009122550887,0.871009122550887
"LKA","Sri Lanka",0.832381515474161,0.832381515474161
"KHM","Cambodia",0.793429958441646,0.793429958441646
"PHL","Philippines",0.790227533417011,0.790227533417011
"THA","Thailand",0.462030163100789,0.462030163100789
"VNM","Vietnam",0.60315864811341,0.60315864811341
"SOM","Somalia",0.904705459675717,0.904705459675717
"ETH","Ethiopia",0.39225025983101,0.39225025983101
"DJI","Djibouti",0.822964701788348,0.822964701788348
"YEM","Yemen",0.360372804258738,0.360372804258738
"OMN","Oman",0.326048182617307,0.326048182617307
"SAU","Saudi Arabia",0.257464954108708,0.257464954108708
"ARE","United Arab Emirates",0.212272292575291,0.212272292575291
"QAT","Qatar",0.304758442002156,0.304758442002156
"COG","Congo - Brazzaville",0.827651571644907,0.827651571644907
"CAF","Central African Republic",0.994844507404945,0.994844507404945
"SSD","South Sudan",1,1
"TCD","Chad",0.704162272877721,0.704162272877721
"SDN","Sudan",0.832884835722006,0.832884835722006
"LBY","Libya",0.383573117704513,0.383573117704513
"EGY","Egypt",0.396779708048537,0.396779708048537
"GRC","Greece",0.673542814718788,0.673542814718788
"MMR","Myanmar (Burma)",0.838309220795488,0.838309220795488
"IND","India",0.672297199084046,0.672297199084046
"TWN","Taiwan",0.635198334055033,0.635198334055033
"BGD","Bangladesh",0.730163482414864,0.730163482414864
"NPL","Nepal",0.916961450755541,0.916961450755541
"BHR","Bahrain",0.28019277473179,0.28019277473179
"KWT","Kuwait",0.100765589830912,0.100765589830912
"PAK","Pakistan",0.49437464538509,0.49437464538509
"JOR","Jordan",0.295675109202351,0.295675109202351
"ISR","Israel",0.567940400405785,0.567940400405785
"IRN","Iran",0.180312339823779,0.180312339823779
"IRQ","Iraq",0.330542142962225,0.330542142962225
"JPN","Japan",0.741829318075139,0.741829318075139
"CHN","China",0.351750472085109,0.351750472085109
"KOR","South Korea",0.574727691288477,0.574727691288477
"PRK","North Korea",0.777115659199249,0.777115659199249
"LBN","Lebanon",0.298329367420304,0.298329367420304
