"a3","name","value","value_legend"
"ARG","Argentina",0.774357538457481,0.774357538457481
"CHL","Chile",0.802592596875541,0.802592596875541
"URY","Uruguay",0.846593592930567,0.846593592930567
"PRY","Paraguay",0.708741653267861,0.708741653267861
"BOL","Bolivia",0.772153996570325,0.772153996570325
"BRA","Brazil",0.612230331634401,0.612230331634401
"NZL","New Zealand",0.677731344209421,0.677731344209421
"GAB","Gabon",0.336083503402133,0.336083503402133
"FRA","France",0.894022651406278,0.894022651406278
"GNQ","Equatorial Guinea",0.0287118392535213,0.0287118392535213
"LBR","Liberia",0.155387203620188,0.155387203620188
"CMR","Cameroon",0.668641689792813,0.668641689792813
"PER","Peru",0.861483915581695,0.861483915581695
"ECU","Ecuador",0.761634650622895,0.761634650622895
"GBR","United Kingdom",0.808933549741853,0.808933549741853
"COL","Colombia",0.775941654552273,0.775941654552273
"VEN","Venezuela",0.429872656477139,0.429872656477139
"CRI","Costa Rica",0.7196862273232,0.7196862273232
"PAN","Panama",0.47942267507469,0.47942267507469
"CIV","Côte d’Ivoire",0.771087693821909,0.771087693821909
"GHA","Ghana",0.420549545227328,0.420549545227328
"SLE","Sierra Leone",0.432678823068119,0.432678823068119
"TGO","Togo",0.586399754262404,0.586399754262404
"NGA","Nigeria",0.060057028361421,0.060057028361421
"BEN","Benin",0.607606926662917,0.607606926662917
"GIN","Guinea",0.65564052341724,0.65564052341724
"GNB","Guinea-Bissau",0.145775543233517,0.145775543233517
"BFA","Burkina Faso",0.466539018832256,0.466539018832256
"NOR","Norway",0.868715130529343,0.868715130529343
"GMB","Gambia",0.276007106395592,0.276007106395592
"SEN","Senegal",0.676703217398324,0.676703217398324
"MLI","Mali",0.793394782057478,0.793394782057478
"NER","Niger",0.658719013041262,0.658719013041262
"MRT","Mauritania",0.836786835285259,0.836786835285259
"DZA","Algeria",0.718155474809718,0.718155474809718
"USA","United States",0.395678575056785,0.395678575056785
"MAR","Morocco",0.729816240759531,0.729816240759531
"NIC","Nicaragua",0.757118689026534,0.757118689026534
"SLV","El Salvador",0.54800311625589,0.54800311625589
"HND","Honduras",0.50469539580142,0.50469539580142
"GTM","Guatemala",0.373610646405937,0.373610646405937
"JAM","Jamaica",0.57598110944273,0.57598110944273
"DOM","Dominican Republic",0.590787559051335,0.590787559051335
"HTI","Haiti",0.798422381474972,0.798422381474972
"CUB","Cuba",0.81627097588462,0.81627097588462
"MEX","Mexico",0.45954927723915,0.45954927723915
"NLD","Netherlands",0.754578900641347,0.754578900641347
"TUN","Tunisia",0.596451034355036,0.596451034355036
"ESP","Spain",0.858489063042163,0.858489063042163
"VAT","Vatican City",0.930766668454965,0.930766668454965
"CHE","Switzerland",0.864925716839564,0.864925716839564
"BEL","Belgium",0.811706545795851,0.811706545795851
"ALB","Albania",0.740023784662972,0.740023784662972
"ITA","Italy",0.743028734250019,0.743028734250019
"BGR","Bulgaria",0.814958930932708,0.814958930932708
"SRB","Serbia",0.769522543895913,0.769522543895913
"HRV","Croatia",0.808919373422808,0.808919373422808
"ROU","Romania",0.841887721696835,0.841887721696835
"HUN","Hungary",0.860527726560577,0.860527726560577
"AUT","Austria",0.886607927143211,0.886607927143211
"CZE","Czechia",0.857128133497856,0.857128133497856
"POL","Poland",0.862940249286726,0.862940249286726
"BLR","Belarus",0.854505833803357,0.854505833803357
"AUS","Australia",0.550254782110577,0.550254782110577
"IDN","Indonesia",0.403300296936396,0.403300296936396
"SGP","Singapore",0.773988503976796,0.773988503976796
"MYS","Malaysia",0.349404219938076,0.349404219938076
"ZAF","South Africa",0.218056058544795,0.218056058544795
"ZWE","Zimbabwe",0.220358245287091,0.220358245287091
"ZMB","Zambia",0.284145001656102,0.284145001656102
"AGO","Angola",0.160552902596316,0.160552902596316
"COD","Congo - Kinshasa",0.530132245651696,0.530132245651696
"BDI","Burundi",0.559519124143629,0.559519124143629
"RWA","Rwanda",0.247634937741885,0.247634937741885
"MDG","Madagascar",0.45988577848833,0.45988577848833
"MOZ","Mozambique",0.169268080380315,0.169268080380315
"MUS","Mauritius",0.597743844492231,0.597743844492231
"MWI","Malawi",0.0920963158002254,0.0920963158002254
