"a3","name","block_density","block_density_legend","transport_street_types","transport_street_types_legend","transport_rail_types","transport_rail_types_legend","transport_freight_types","transport_freight_types_legend","non_highways","non_highways_legend","car_free_areas","car_free_areas_legend","streets","streets_legend","parking_blocks","parking_blocks_legend"
"ARG","Argentina",68.1827082204551,68.1827082204551,0.00743878640073392,0.00743878640073392,0.0876048088525019,0.0876048088525019,0.651768163986148,0.651768163986148,0.791800911074585,0.791800911074585,0.22404771928151,0.22404771928151,0.774357538457481,0.774357538457481,0.127240391600132,0.127240391600132
"CHL","Chile",86.7071723091826,86.7071723091826,0.0913629142085405,0.0913629142085405,0.195809390567026,0.195809390567026,0,0,0.651903157992141,0.651903157992141,0.502979823397929,0.502979823397929,0.802592596875541,0.802592596875541,0.244167009855396,0.244167009855396
"URY","Uruguay",57.8656388659662,57.8656388659662,0,0,0,0,NA,NA,0.833296142808245,0.833296142808245,0.351323946991278,0.351323946991278,0.846593592930567,0.846593592930567,0.146354205717442,0.146354205717442
"PRY","Paraguay",58.2446186584354,58.2446186584354,0,0,0,0,NA,NA,0.80015356735293,0.80015356735293,0.223884264176534,0.223884264176534,0.708741653267861,0.708741653267861,0.0297245485443756,0.0297245485443756
"BOL","Bolivia",86.1267234634529,86.1267234634529,0.00185788555426488,0.00185788555426488,0.0307006241603705,0.0307006241603705,NA,NA,0.625504482589469,0.625504482589469,0.405218381779647,0.405218381779647,0.772153996570325,0.772153996570325,0.0306828463375305,0.0306828463375305
"BRA","Brazil",62.7676926936557,62.7676926936557,0.00839500580151071,0.00839500580151071,0.0456192976087277,0.0456192976087277,0.198437407246954,0.198437407246954,0.605774578395561,0.605774578395561,0.317185296744064,0.317185296744064,0.612230331634401,0.612230331634401,0.0638872123055631,0.0638872123055631
"NZL","New Zealand",32.2744321320074,32.2744321320074,0.100606313324373,0.100606313324373,0,0,0.396291044925089,0.396291044925089,0.795108498151871,0.795108498151871,0.626334568108091,0.626334568108091,0.677731344209421,0.677731344209421,0.201914496850348,0.201914496850348
"GAB","Gabon",17.8942042951824,17.8942042951824,0,0,0,0,NA,NA,0.686500950854685,0.686500950854685,0.0241051723544127,0.0241051723544127,0.336083503402133,0.336083503402133,0,0
"FRA","France",62.4949598706323,62.4949598706323,0.100270525181638,0.100270525181638,0.490431769180681,0.490431769180681,0.712330765233578,0.712330765233578,0.629739232961582,0.629739232961582,0.722797335986263,0.722797335986263,0.894022651406278,0.894022651406278,0.436031850667458,0.436031850667458
"GNQ","Equatorial Guinea",22.0997363125904,22.0997363125904,0,0,0,0,NA,NA,0.783373442457097,0.783373442457097,0.0618145573452273,0.0618145573452273,0.0287118392535213,0.0287118392535213,0,0
"LBR","Liberia",30.6081949445057,30.6081949445057,0,0,0,0,NA,NA,0.907187038775616,0.907187038775616,0.240200336606629,0.240200336606629,0.155387203620188,0.155387203620188,0,0
"CMR","Cameroon",44.2614755571128,44.2614755571128,0,0,0,0,0.0565906060677427,0.0565906060677427,0.838930325592109,0.838930325592109,0.0733639672327203,0.0733639672327203,0.668641689792813,0.668641689792813,0,0
"PER","Peru",114.139589630703,114.139589630703,0.023042780341179,0.023042780341179,0.0782966699652771,0.0782966699652771,NA,NA,0.592695224635653,0.592695224635653,0.591379131869751,0.591379131869751,0.861483915581695,0.861483915581695,0.129702009888115,0.129702009888115
"ECU","Ecuador",105.368612980295,105.368612980295,0.0238181779876095,0.0238181779876095,0.159359465022225,0.159359465022225,NA,NA,0.528098503288268,0.528098503288268,0.360248206783573,0.360248206783573,0.761634650622895,0.761634650622895,0.046245211624727,0.046245211624727
"GBR","United Kingdom",54.1583145365578,54.1583145365578,0.00602577862822616,0.00602577862822616,0.00627938746781304,0.00627938746781304,0.0818516642682542,0.0818516642682542,0.785274735659583,0.785274735659583,0.718309642451978,0.718309642451978,0.808933549741853,0.808933549741853,0.276070353456008,0.276070353456008
"COL","Colombia",110.626885223129,110.626885223129,0.0293383335490273,0.0293383335490273,0.214879923551284,0.214879923551284,0.849255121005812,0.849255121005812,0.482219177916306,0.482219177916306,0.635730700858748,0.635730700858748,0.775941654552273,0.775941654552273,0.282542726232144,0.282542726232144
"VEN","Venezuela",63.8574731915949,63.8574731915949,0.00383667161378457,0.00383667161378457,0.100327625164797,0.100327625164797,NA,NA,0.653442183397672,0.653442183397672,0.154717563102059,0.154717563102059,0.429872656477139,0.429872656477139,0.0039979916497487,0.0039979916497487
"CRI","Costa Rica",37.7709055524819,37.7709055524819,0,0,0,0,NA,NA,0.815214132310256,0.815214132310256,0.341558461419364,0.341558461419364,0.7196862273232,0.7196862273232,0,0
"PAN","Panama",43.0450295283877,43.0450295283877,0.0055465501585464,0.0055465501585464,0.168175995230776,0.168175995230776,NA,NA,0.516030379526434,0.516030379526434,0.231869307901921,0.231869307901921,0.47942267507469,0.47942267507469,0.0111352555665959,0.0111352555665959
"CIV","Côte d’Ivoire",63.913807211538,63.913807211538,0,0,0,0,0.184667700074875,0.184667700074875,0.732246894781437,0.732246894781437,0.190692263867425,0.190692263867425,0.771087693821909,0.771087693821909,0,0
"GHA","Ghana",37.6302273497013,37.6302273497013,0,0,0,0,0.0677654616478776,0.0677654616478776,0.749445480946758,0.749445480946758,0.073812975445736,0.073812975445736,0.420549545227328,0.420549545227328,0,0
"SLE","Sierra Leone",34.4543199056595,34.4543199056595,0,0,0,0,0,0,0.694610892882018,0.694610892882018,0.349475356070916,0.349475356070916,0.432678823068119,0.432678823068119,0,0
"TGO","Togo",62.5053413909721,62.5053413909721,0,0,0,0,NA,NA,0.675659809245383,0.675659809245383,0.250378683364221,0.250378683364221,0.586399754262404,0.586399754262404,0,0
"NGA","Nigeria",35.1131679142708,35.1131679142708,0,0,0.00525078040990184,0.00525078040990184,NA,NA,0.700832545019075,0.700832545019075,0.0259075055245066,0.0259075055245066,0.060057028361421,0.060057028361421,0,0
"BEN","Benin",52.3069124597845,52.3069124597845,0,0,0,0,NA,NA,0.695500834275307,0.695500834275307,0.108395607047306,0.108395607047306,0.607606926662917,0.607606926662917,0,0
"GIN","Guinea",50.050069357436,50.050069357436,0,0,0,0,NA,NA,0.58863971548046,0.58863971548046,0.0815217126958038,0.0815217126958038,0.65564052341724,0.65564052341724,0,0
"GNB","Guinea-Bissau",37.0430311202923,37.0430311202923,0,0,0,0,NA,NA,0.860818238821158,0.860818238821158,0.163447525457803,0.163447525457803,0.145775543233517,0.145775543233517,0,0
"BFA","Burkina Faso",84.2282373719689,84.2282373719689,0,0,0,0,NA,NA,0.882084792737344,0.882084792737344,0.227473788061842,0.227473788061842,0.466539018832256,0.466539018832256,0.092026060041133,0.092026060041133
"NOR","Norway",84.327640962917,84.327640962917,0.295724823458675,0.295724823458675,0.495822691872671,0.495822691872671,NA,NA,0.558010921694637,0.558010921694637,0.847002554447111,0.847002554447111,0.868715130529343,0.868715130529343,0.598981505246808,0.598981505246808
"GMB","Gambia",62.1418265393176,62.1418265393176,0,0,0,0,NA,NA,0.910972246715269,0.910972246715269,0.0786215026180071,0.0786215026180071,0.276007106395592,0.276007106395592,0,0
"SEN","Senegal",149.208217531611,149.208217531611,0,0,0,0,NA,NA,0.57216970515512,0.57216970515512,0.111959365801945,0.111959365801945,0.676703217398324,0.676703217398324,0,0
"MLI","Mali",94.8335409812902,94.8335409812902,0,0,0,0,NA,NA,0.860076105605768,0.860076105605768,0.0765394450670158,0.0765394450670158,0.793394782057478,0.793394782057478,0,0
"NER","Niger",75.8331456589366,75.8331456589366,0,0,0,0,NA,NA,0.85668015987642,0.85668015987642,0.1064214457173,0.1064214457173,0.658719013041262,0.658719013041262,0.0526279644533118,0.0526279644533118
"MRT","Mauritania",140.533278184344,140.533278184344,0,0,0,0,NA,NA,0.902119369942407,0.902119369942407,0.0969218276895597,0.0969218276895597,0.836786835285259,0.836786835285259,0,0
"DZA","Algeria",60.774629273335,60.774629273335,0.00130665169339951,0.00130665169339951,0.169336542790723,0.169336542790723,0.00207442024465732,0.00207442024465732,0.461593337081608,0.461593337081608,0.151845072866376,0.151845072866376,0.718155474809718,0.718155474809718,0.00402867811915787,0.00402867811915787
"USA","United States",61.2654089274592,61.2654089274592,0.0442978549720464,0.0442978549720464,0.122847745523949,0.122847745523949,0.199809373801375,0.199809373801375,0.738529307070943,0.738529307070943,0.274151703127697,0.274151703127697,0.395678575056785,0.395678575056785,0.105738086709643,0.105738086709643
"MAR","Morocco",97.3884379111371,97.3884379111371,5.2207249578381e-05,5.2207249578381e-05,0.129090777081364,0.129090777081364,NA,NA,0.521705646963866,0.521705646963866,0.288775737635128,0.288775737635128,0.729816240759531,0.729816240759531,0.00493822799893414,0.00493822799893414
"NIC","Nicaragua",61.1107036143961,61.1107036143961,0,0,0,0,0.675668884689063,0.675668884689063,0.770841401872516,0.770841401872516,0.228679483801639,0.228679483801639,0.757118689026534,0.757118689026534,0,0
"SLV","El Salvador",53.1106923339916,53.1106923339916,0,0,0,0,NA,NA,0.562147501955546,0.562147501955546,0.346256532391729,0.346256532391729,0.54800311625589,0.54800311625589,0,0
"HND","Honduras",83.6420505902417,83.6420505902417,0,0,0,0,NA,NA,0.527824040768905,0.527824040768905,0.278439071352404,0.278439071352404,0.50469539580142,0.50469539580142,0,0
"GTM","Guatemala",83.3802743075565,83.3802743075565,0.000215461616111196,0.000215461616111196,0.00764391671292742,0.00764391671292742,NA,NA,0.625183526921804,0.625183526921804,0.249772656823164,0.249772656823164,0.373610646405937,0.373610646405937,0.0158331718388271,0.0158331718388271
"JAM","Jamaica",37.4687018510738,37.4687018510738,0,0,0,0,NA,NA,0.761501163687433,0.761501163687433,0.142855514057001,0.142855514057001,0.57598110944273,0.57598110944273,0,0
"DOM","Dominican Republic",70.7478747168561,70.7478747168561,0.00256124033404328,0.00256124033404328,0.0756608044116222,0.0756608044116222,0,0,0.622454130996312,0.622454130996312,0.16382138355255,0.16382138355255,0.590787559051335,0.590787559051335,0.0143287007968472,0.0143287007968472
"HTI","Haiti",38.7888388319387,38.7888388319387,0,0,0,0,NA,NA,0.91723412437905,0.91723412437905,0.360361659736486,0.360361659736486,0.798422381474972,0.798422381474972,0,0
"CUB","Cuba",55.3984391338102,55.3984391338102,0,0,0,0,NA,NA,0.759795300239361,0.759795300239361,0.415794851747831,0.415794851747831,0.81627097588462,0.81627097588462,0,0
"MEX","Mexico",81.597146396419,81.597146396419,0.0249965947760203,0.0249965947760203,0.114603827613525,0.114603827613525,0.0118040548681557,0.0118040548681557,0.613311086536909,0.613311086536909,0.302537784568812,0.302537784568812,0.45954927723915,0.45954927723915,0.0573840360855756,0.0573840360855756
"NLD","Netherlands",102.930272375931,102.930272375931,0.152173509665548,0.152173509665548,0.155671070317708,0.155671070317708,0,0,0.636690555728626,0.636690555728626,0.854467450821717,0.854467450821717,0.754578900641347,0.754578900641347,0.853990121279651,0.853990121279651
"TUN","Tunisia",76.3025977402129,76.3025977402129,0,0,0.178769472346002,0.178769472346002,0.0194764301617748,0.0194764301617748,0.544347745790162,0.544347745790162,0.193507074597945,0.193507074597945,0.596451034355036,0.596451034355036,0,0
"ESP","Spain",79.7005979837916,79.7005979837916,0.269720562359606,0.269720562359606,0.625840341210585,0.625840341210585,0.507044997915028,0.507044997915028,0.41663659358432,0.41663659358432,0.793809255186236,0.793809255186236,0.858489063042163,0.858489063042163,0.484544864247249,0.484544864247249
"VAT","Vatican City",89.669227450966,89.669227450966,0.116149744285267,0.116149744285267,0.540242294050805,0.540242294050805,0.788294262847742,0.788294262847742,0.372744369336013,0.372744369336013,0.998462107525328,0.998462107525328,0.930766668454965,0.930766668454965,0.116172282715347,0.116172282715347
"CHE","Switzerland",95.3942060118411,95.3942060118411,0.282236670923328,0.282236670923328,0.606773854252207,0.606773854252207,0,0,0.720689807770777,0.720689807770777,0.920195701836742,0.920195701836742,0.864925716839564,0.864925716839564,0.360605653086846,0.360605653086846
"BEL","Belgium",56.3946537316375,56.3946537316375,0.410282865106598,0.410282865106598,0.0425752999742333,0.0425752999742333,0.658317378381607,0.658317378381607,0.661958289390067,0.661958289390067,0.709056829572068,0.709056829572068,0.811706545795851,0.811706545795851,0.569505017674266,0.569505017674266
"ALB","Albania",45.1688139501609,45.1688139501609,0,0,0,0,NA,NA,0.577917943975751,0.577917943975751,0.460572948963823,0.460572948963823,0.740023784662972,0.740023784662972,0.261095618198126,0.261095618198126
"ITA","Italy",40.9910908385799,40.9910908385799,0.0572504365874952,0.0572504365874952,0.224872792361121,0.224872792361121,0.525442039911508,0.525442039911508,0.639254201084967,0.639254201084967,0.56802580188999,0.56802580188999,0.743028734250019,0.743028734250019,0.285010756672336,0.285010756672336
